## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa1merged.bam] OUTPUT=Arenosa1dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa1.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 01 12:42:48 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@E00401:25:H3NTKALXX:5one	65	165	5	33	3	4	1	0.027848	4427

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.005981
2.0	1.975158
3.0	2.908878
4.0	3.808437
5.0	4.675085
6.0	5.510027
7.0	6.314423
8.0	7.089389
9.0	7.836003
10.0	8.555302
11.0	9.248285
12.0	9.915915
13.0	10.55912
14.0	11.178793
15.0	11.775795
16.0	12.350956
17.0	12.905074
18.0	13.438919
19.0	13.953234
20.0	14.448733
21.0	14.926103
22.0	15.386009
23.0	15.829089
24.0	16.255958
25.0	16.667211
26.0	17.063418
27.0	17.445129
28.0	17.812876
29.0	18.167168
30.0	18.508499
31.0	18.837342
32.0	19.154154
33.0	19.459375
34.0	19.75343
35.0	20.036726
36.0	20.309659
37.0	20.572606
38.0	20.825933
39.0	21.069991
40.0	21.305121
41.0	21.531649
42.0	21.749889
43.0	21.960145
44.0	22.162708
45.0	22.357861
46.0	22.545874
47.0	22.727008
48.0	22.901516
49.0	23.069639
50.0	23.231611
51.0	23.387658
52.0	23.537995
53.0	23.682833
54.0	23.822371
55.0	23.956804
56.0	24.08632
57.0	24.211096
58.0	24.331308
59.0	24.447122
60.0	24.558699
61.0	24.666193
62.0	24.769755
63.0	24.869528
64.0	24.965651
65.0	25.058258
66.0	25.147476
67.0	25.23343
68.0	25.316239
69.0	25.396019
70.0	25.47288
71.0	25.546929
72.0	25.618269
73.0	25.686999
74.0	25.753215
75.0	25.817008
76.0	25.878467
77.0	25.937677
78.0	25.994722
79.0	26.049679
80.0	26.102626
81.0	26.153636
82.0	26.202779
83.0	26.250125
84.0	26.295738
85.0	26.339683
86.0	26.38202
87.0	26.422808
88.0	26.462103
89.0	26.499961
90.0	26.536434
91.0	26.571573
92.0	26.605426
93.0	26.638041
94.0	26.669462
95.0	26.699734
96.0	26.728898
97.0	26.756996
98.0	26.784065
99.0	26.810144
100.0	26.835269

