## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa2merged.bam] OUTPUT=Arenosa2dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa2.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 01 12:42:44 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@E00401:25:H3NTKALXX:5one	54	164	3	46	0	4	2	0.020942	6506

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.012189
2.0	1.999182
3.0	2.961607
4.0	3.900074
5.0	4.815181
6.0	5.707508
7.0	6.577623
8.0	7.426079
9.0	8.253415
10.0	9.060156
11.0	9.846816
12.0	10.613894
13.0	11.361877
14.0	12.091241
15.0	12.80245
16.0	13.495954
17.0	14.172196
18.0	14.831604
19.0	15.474599
20.0	16.101587
21.0	16.712968
22.0	17.309131
23.0	17.890453
24.0	18.457305
25.0	19.010047
26.0	19.549029
27.0	20.074595
28.0	20.587078
29.0	21.086805
30.0	21.574091
31.0	22.049249
32.0	22.512578
33.0	22.964374
34.0	23.404923
35.0	23.834507
36.0	24.253397
37.0	24.661859
38.0	25.060154
39.0	25.448535
40.0	25.827248
41.0	26.196533
42.0	26.556627
43.0	26.907756
44.0	27.250146
45.0	27.584012
46.0	27.909567
47.0	28.227019
48.0	28.536569
49.0	28.838413
50.0	29.132743
51.0	29.419747
52.0	29.699607
53.0	29.9725
54.0	30.2386
55.0	30.498076
56.0	30.751094
57.0	30.997813
58.0	31.23839
59.0	31.47298
60.0	31.701729
61.0	31.924785
62.0	32.142288
63.0	32.354377
64.0	32.561186
65.0	32.762848
66.0	32.959489
67.0	33.151236
68.0	33.33821
69.0	33.520529
70.0	33.69831
71.0	33.871666
72.0	34.040707
73.0	34.205539
74.0	34.366269
75.0	34.522997
76.0	34.675825
77.0	34.824848
78.0	34.970161
79.0	35.111857
80.0	35.250026
81.0	35.384756
82.0	35.516132
83.0	35.644238
84.0	35.769154
85.0	35.890962
86.0	36.009737
87.0	36.125556
88.0	36.238491
89.0	36.348616
90.0	36.455999
91.0	36.560709
92.0	36.662813
93.0	36.762375
94.0	36.859458
95.0	36.954125
96.0	37.046436
97.0	37.136448
98.0	37.22422
99.0	37.309808
100.0	37.393264

