## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa2merged.bam] OUTPUT=Arenosa2dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa2.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 10 17:50:57 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@E00401:25:H3NTKALXX:5one	644	3797	203	1154	40	291	133	0.075504	41253

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.034655
2.0	1.978329
3.0	2.839023
4.0	3.624034
5.0	4.340016
6.0	4.99304
7.0	5.588642
8.0	6.131871
9.0	6.627331
10.0	7.079225
11.0	7.491382
12.0	7.867297
13.0	8.210157
14.0	8.522868
15.0	8.808081
16.0	9.068215
17.0	9.305475
18.0	9.521871
19.0	9.719239
20.0	9.899252
21.0	10.063436
22.0	10.213183
23.0	10.349762
24.0	10.474331
25.0	10.587947
26.0	10.691572
27.0	10.786084
28.0	10.872287
29.0	10.950909
30.0	11.022617
31.0	11.08802
32.0	11.147672
33.0	11.202079
34.0	11.251701
35.0	11.29696
36.0	11.33824
37.0	11.375889
38.0	11.410228
39.0	11.441547
40.0	11.470113
41.0	11.496166
42.0	11.519929
43.0	11.541602
44.0	11.561369
45.0	11.579398
46.0	11.595842
47.0	11.610839
48.0	11.624518
49.0	11.636994
50.0	11.648373
51.0	11.658752
52.0	11.668218
53.0	11.676851
54.0	11.684726
55.0	11.691907
56.0	11.698458
57.0	11.704432
58.0	11.709881
59.0	11.714851
60.0	11.719384
61.0	11.723518
62.0	11.727289
63.0	11.730728
64.0	11.733865
65.0	11.736726
66.0	11.739335
67.0	11.741715
68.0	11.743886
69.0	11.745866
70.0	11.747671
71.0	11.749318
72.0	11.75082
73.0	11.75219
74.0	11.75344
75.0	11.75458
76.0	11.755619
77.0	11.756567
78.0	11.757432
79.0	11.75822
80.0	11.75894
81.0	11.759596
82.0	11.760194
83.0	11.76074
84.0	11.761238
85.0	11.761692
86.0	11.762106
87.0	11.762483
88.0	11.762828
89.0	11.763142
90.0	11.763428
91.0	11.76369
92.0	11.763928
93.0	11.764146
94.0	11.764344
95.0	11.764525
96.0	11.76469
97.0	11.76484
98.0	11.764977
99.0	11.765102
100.0	11.765217

