## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa3merged.bam] OUTPUT=Arenosa3dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa3.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 10 17:57:04 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@E00401:25:H3NTKALXX:5one	644	3756	205	1217	69	280	93	0.077121	34644

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.024038
2.0	1.942859
3.0	2.767275
4.0	3.506985
5.0	4.170691
6.0	4.766205
7.0	5.300531
8.0	5.779957
9.0	6.210123
10.0	6.596092
11.0	6.942403
12.0	7.253132
13.0	7.531935
14.0	7.782092
15.0	8.006546
16.0	8.207938
17.0	8.388637
18.0	8.55077
19.0	8.696245
20.0	8.826773
21.0	8.943889
22.0	9.048972
23.0	9.143258
24.0	9.227857
25.0	9.303763
26.0	9.37187
27.0	9.43298
28.0	9.48781
29.0	9.537007
30.0	9.581149
31.0	9.620756
32.0	9.656293
33.0	9.688179
34.0	9.716789
35.0	9.742459
36.0	9.765492
37.0	9.786158
38.0	9.804701
39.0	9.821338
40.0	9.836266
41.0	9.84966
42.0	9.861679
43.0	9.872462
44.0	9.882137
45.0	9.890818
46.0	9.898607
47.0	9.905596
48.0	9.911867
49.0	9.917494
50.0	9.922542
51.0	9.927072
52.0	9.931136
53.0	9.934783
54.0	9.938055
55.0	9.940991
56.0	9.943625
57.0	9.945988
58.0	9.948109
59.0	9.950012
60.0	9.951719
61.0	9.953251
62.0	9.954625
63.0	9.955859
64.0	9.956965
65.0	9.957958
66.0	9.958849
67.0	9.959648
68.0	9.960365
69.0	9.961009
70.0	9.961586
71.0	9.962104
72.0	9.962569
73.0	9.962986
74.0	9.96336
75.0	9.963696
76.0	9.963997
77.0	9.964268
78.0	9.96451
79.0	9.964728
80.0	9.964923
81.0	9.965098
82.0	9.965256
83.0	9.965397
84.0	9.965523
85.0	9.965637
86.0	9.965739
87.0	9.96583
88.0	9.965912
89.0	9.965986
90.0	9.966052
91.0	9.966111
92.0	9.966164
93.0	9.966212
94.0	9.966255
95.0	9.966293
96.0	9.966327
97.0	9.966358
98.0	9.966386
99.0	9.966411
100.0	9.966433

